project,distribution,loc,scale
ruby_ruby,norm,1357944183.0969098,150970106.01606458
learn-co-students_activerecord-crud-v-000,rayleigh,1503045952.8364697,33059632.21134094
keum_data_display,powerlaw,1.382209761887796,1395731931.1884315
struan_netherlands,powerlaw,2.0630592835397863,1441783900.8565092
geovas01_man4,powerlaw,0.26666864279136393,-1.5318455998867464e-18
doctorjei_pidgin,cauchy,1197764444.857496,71631828.47988464
gitlab.com_quicla_platform/tools/test/connectivity,rayleigh,1448823135.6753025,70543758.05180852
chuan12_shenzhouzd,exponpow,0.8840325950059011,1523886659.9999995
State-College-Plone_Products.IstTheme,norm,1274416025.6351597,39141723.828055024
llvm-project_llvm-project-ng,powerlaw,1.9929604198083912,979846437.7658267
bioconda_bioconda-recipes,powerlaw,1.4148867857068903,1442049722.36128
google-test_signcla-probe-repo,powerlaw,0.818969840045028,1501104617.9999995
git.kernel.org_pub_scm/public-inbox/vger.kernel.org/lkml/5,powerlaw,1.2366973475219596,1470185911.2658627
pequet_public-logs,powerlaw,1.001647468629879,1558120062.8059883
scriptzteam_newzNZB-Usenet-Upload-Logger-v1.1,rayleigh,1537468735.291743,17212354.20332072
apple_llvm-project-v5-split,norm,1375835860.8278854,123103947.67120199
Door43_d43-en,gamma,11.626481300498114,1383763502.7093096
kanzure_brlcad,powerlaw,2.0629340508962946,341911410.78595746
bahmedraaz_myProjectOpenAps,norm,1556699632.902388,4193246.5815624767
ARMmbed_DAPLink,norm,1519523247.1482966,50256037.94041998
Sarybe_ThumbnailTooltip,cauchy,1354562895.2862468,30016704.63499154
moiify_AutoGreen,gamma,52954.24718899696,-378416296.2789969
8irder_heartinternetstatus,cauchy,1376851425.5417626,5695204.585204914
flushbeer_waka,cauchy,1437538894.607642,3170.6220453245096
surli_backup-experiments,norm,1463838185.139818,92775629.43746024
teku45_Web-DROP,powerlaw,1.1285917004331565,1469456792.7935705
infinit_elle,norm,1463907797.644049,82155607.0829434
johame_w00t,uniform,1528590174.0,1089.0
ingenue_hunter-cache,norm,1497900607.4893842,20897585.505828943
git.eclipse.org_r_tracecompass/org.eclipse.tracecompass,gamma,229.70191254229343,699381399.7455783
project-draco-hr_liferay-portal,powerlaw,3.713784444162428,1031744223.0585108
earl-ducaine_brl-cad-svn-follow,cauchy,1291321058.7910671,142026739.08035153
GregorStocks_0.1,powerlaw,2.169739962168004,1350012371.4154782
acquia_blt,gamma,13220.61257172878,-6371732715.630663
discourse_discourse,powerlaw,0.9033549326534653,1360091810.9999998
roschina_rosdoc_tag_index,gamma,1.7535247259117432,1348277119.8054395
tencentyun_qcloud-documents,powerlaw,1.8553756970475543,1467737721.7797956
ilikeavocadoes_productivity,uniform,1.0,2147483400.0
sourceconnect-tests_subscription,powerlaw,1.5489077815005896,1511216726.5199952
alpinelinux_aports,powerlaw,2.82067978129459,1135911628.6279573
usukhbayar-boop_PLS,gamma,8.424547720566022,1426300727.5097737
spring-projects_spring-boot,cauchy,1531399343.1665769,44914764.28031714
MycroftAI_mycroft-core,cauchy,1519599871.5637546,402899.4043829852
makersacademy_airport_challenge,powerlaw,1.1109977911987097,1416559817.1870732
majesty86_phase-0-tracks,gamma,21.830758743009707,1418107468.8487701
licshire_public-buildpacks-ci-robots,norm,1543833851.8211966,30719284.08289429
Tiseg_github-slideshow,powerlaw,2.479785634762961,1513126528.5194812
jkim664_junik,expon,0.0,5667318.280136387
apache_hbase,rayleigh,1193840949.3793378,180174094.5705547
pawohl_studip,cauchy,1325541536.6277442,103174390.52439076
gitorious.org_wxfork/wxwidgets,norm,1122334523.687479,96764674.48868568
star-bnl_star-sw,rayleigh,795954061.6939901,287421626.938725
jthub_ega-file-transfer-to-collab-3-jtracker,cauchy,1500241901.2771704,788954.1168739162
evileval_wooyun-image-2015,expon,1544754759.0,251420.61484241486
haiku_haiku,rayleigh,989445134.8548884,200507615.13499922
gitlab.com_quicla_kernel/lk,norm,1474809349.1677542,90978175.51710206
sujaypat_cs225,expon,0.0,5543682.958006299
ahf_tor-jenkins,powerlaw,1.3137193173562678,1356872089.3660727
tmtmtmtm_mexico-diputados-2015,rayleigh,1470963850.1035624,27067153.77899928
commit-b0t_commit-b0t,uniform,1604774628.0,7595949.0
cirosantilli_test-many-commits-1m,gamma,0.1552564569945486,-2.0794895717881375e-19
ngriffin7a_icefaces4-trunk,cauchy,1371088058.9918246,64151949.39982158
rust-lang_rust,powerlaw,1.56442572385534,1272711362.1358778
SockPuppetry_Loop-A,powerlaw,0.7793811257685694,1523706441.9999995
gspu_vbox,norm,1352067727.8830824,120653648.61919682
rathena_rathena,powerlaw,0.9441901170847613,1099610343.9999998
jasoncalabrese_indy2d,uniform,1464841249.0,23686389.0
raytapan_mgm-ice-R22,gamma,0.5748856812737186,-2.1334319786196365e-17
rubygems_rubygems,powerlaw,2.0004743620523624,884949054.3207679
openbsd-unofficial_openbsd-src,powerlaw,1.126674739445479,813975889.0856125
gitlab.com_szzdlab_djy,gamma,1.5472622798215059,1569372660.292513
ocaml_opam-bulk-logs,cauchy,1409585160.966435,1687678.772032146
racket_racket,norm,1256904672.707254,170346822.97676778
jh3y_pic,powerlaw,0.5199086466137004,1406890799.9999998
hashibiroko_tanoshi,uniform,1507099146.0,63496255.0
